DateTime,CycleCounter,MaxWeldForce,WeldAbsolute,TriggerDistance,WeldTime,WeldPeakPower,CycleTime,AnomalyScore
24-Nov-2021 11:28:15,208480,37,38032,37835,789,301,1972,6
24-Nov-2021 11:28:20,208481,36,37990,37827,807,285,1984,6
24-Nov-2021 11:28:24,208482,36,38014,37826,795,285,1977,6
24-Nov-2021 11:28:28,208483,36,37993,37832,801,271,1983,6
24-Nov-2021 11:28:32,208484,36,38037,37844,793,301,1976,6
24-Nov-2021 11:28:38,208485,36,38053,37858,792,282,1975,6
24-Nov-2021 11:28:43,208486,37,38002,37831,803,283,1984,6
24-Nov-2021 11:28:48,208487,35,38005,37821,807,276,1985,6
24-Nov-2021 11:28:52,208488,36,37999,37796,788,289,1967,6
24-Nov-2021 11:28:56,208489,36,37974,37793,792,294,1970,6
24-Nov-2021 11:29:29,208490,36,38016,37827,788,282,1968,6
24-Nov-2021 11:29:43,208491,36,38033,37854,799,293,1978,6
24-Nov-2021 11:29:47,208492,37,38036,37849,795,302,1977,6
24-Nov-2021 11:29:51,208493,37,38038,37854,795,288,1978,6
24-Nov-2021 11:29:55,208494,36,38040,37830,779,299,1961,6
24-Nov-2021 11:30:14,208495,36,37981,37816,791,293,1971,6
24-Nov-2021 11:30:18,208496,36,37995,37811,793,288,1973,6
24-Nov-2021 11:30:22,208497,36,38024,37831,782,282,1962,6
24-Nov-2021 11:30:26,208498,36,38015,37826,793,296,1971,6
24-Nov-2021 11:30:31,208499,37,38047,37846,777,299,1961,6
24-Nov-2021 11:30:35,208500,36,38024,37822,778,312,1959,6
24-Nov-2021 11:30:45,208501,36,37996,37822,794,283,1972,6
24-Nov-2021 11:30:49,208502,37,38033,37833,792,294,1973,6
24-Nov-2021 11:30:53,208503,36,38030,37856,805,289,1987,6
24-Nov-2021 11:30:57,208504,38,38023,37824,793,287,1973,6
24-Nov-2021 11:31:01,208505,36,38016,37830,788,291,1969,6
24-Nov-2021 11:31:16,208506,36,37999,37817,793,282,1972,6
24-Nov-2021 11:34:46,208507,35,37991,37826,813,285,1992,6
24-Nov-2021 11:34:54,208508,36,37988,37814,790,288,1971,6
24-Nov-2021 11:34:58,208509,36,38012,37823,786,294,1965,6
24-Nov-2021 11:35:02,208510,36,38004,37827,787,273,1966,6
24-Nov-2021 11:35:06,208511,36,38045,37856,800,288,1982,6
24-Nov-2021 11:35:10,208512,36,38022,37852,801,296,1984,6
24-Nov-2021 11:35:21,208513,36,37997,37819,795,304,1974,6
24-Nov-2021 11:35:25,208514,37,37984,37800,788,287,1968,6
24-Nov-2021 11:35:29,208515,36,37985,37806,797,288,1976,6
24-Nov-2021 11:35:33,208516,36,38004,37820,803,283,1982,6
24-Nov-2021 11:35:37,208517,37,38043,37847,794,291,1977,6
24-Nov-2021 11:35:41,208518,37,38030,37842,803,291,1984,6
24-Nov-2021 11:35:49,208519,36,38026,37851,803,283,1988,6
24-Nov-2021 11:35:53,208520,36,37992,37810,796,282,1977,6
24-Nov-2021 11:35:57,208521,36,37958,37784,797,287,1974,6
24-Nov-2021 11:36:01,208522,37,37999,37815,790,283,1971,6
24-Nov-2021 11:36:05,208523,37,37984,37822,804,293,1985,6
24-Nov-2021 11:36:09,208524,36,38008,37819,790,285,1971,6
24-Nov-2021 11:36:17,208525,37,38023,37838,802,288,1982,6
24-Nov-2021 11:36:21,208526,35,38006,37831,811,278,1992,6
24-Nov-2021 11:36:25,208527,37,38002,37820,793,280,1973,6
24-Nov-2021 11:36:29,208528,36,38036,37832,803,283,1981,6
24-Nov-2021 11:36:33,208529,37,38034,37847,799,283,1980,6
24-Nov-2021 11:36:37,208530,37,37999,37827,805,285,1986,6
24-Nov-2021 11:36:45,208531,37,37999,37821,799,294,1978,6
24-Nov-2021 11:36:49,208532,35,37973,37785,789,287,1967,6
24-Nov-2021 11:36:53,208533,36,37982,37808,798,289,1978,6
24-Nov-2021 11:36:57,208534,37,38005,37821,803,285,1980,6
24-Nov-2021 11:37:01,208535,37,38038,37851,800,294,1981,6
24-Nov-2021 11:37:05,208536,37,38025,37842,808,282,1988,6
24-Nov-2021 11:37:13,208537,37,38026,37828,790,285,1969,6
24-Nov-2021 11:37:17,208538,37,37999,37814,781,297,1961,6
24-Nov-2021 11:37:21,208539,36,37988,37800,795,296,1973,6
24-Nov-2021 11:37:25,208540,37,37991,37812,794,276,1974,6
24-Nov-2021 11:37:29,208541,37,37994,37815,797,278,1976,6
24-Nov-2021 11:37:33,208542,37,38022,37830,787,283,1968,6
24-Nov-2021 11:37:41,208543,36,38018,37841,802,289,1982,6
24-Nov-2021 11:37:45,208544,36,38005,37806,790,278,1968,6
24-Nov-2021 11:37:49,208545,37,38003,37813,801,288,1980,6
24-Nov-2021 11:37:53,208546,37,38030,37839,790,299,1972,6
24-Nov-2021 11:37:57,208547,37,38039,37853,800,277,1984,6
24-Nov-2021 11:38:01,208548,36,38021,37824,794,276,1973,6
24-Nov-2021 11:38:08,208549,35,38007,37821,795,287,1973,6
24-Nov-2021 11:38:12,208550,36,37976,37798,810,283,1988,6
24-Nov-2021 11:38:17,208551,36,37989,37801,792,283,1971,6
24-Nov-2021 11:38:21,208552,36,38005,37830,805,285,1987,6
24-Nov-2021 11:38:25,208553,36,38045,37848,799,278,1980,6
24-Nov-2021 11:38:29,208554,36,38023,37838,793,289,1977,6
24-Nov-2021 11:38:36,208555,36,38018,37833,790,285,1972,6
24-Nov-2021 11:38:40,208556,36,38001,37812,807,280,1986,6
24-Nov-2021 11:38:44,208557,36,37978,37793,794,287,1972,6
24-Nov-2021 11:38:52,208558,37,37991,37815,794,277,1974,6
24-Nov-2021 11:38:56,208559,37,38018,37830,792,291,1972,6
24-Nov-2021 11:39:00,208560,38,38020,37829,796,293,1979,6
24-Nov-2021 11:39:05,208561,36,38018,37820,788,276,1969,6
24-Nov-2021 11:39:09,208562,37,38007,37814,787,304,1966,6
24-Nov-2021 11:39:13,208563,35,38005,37814,790,297,1968,6
24-Nov-2021 11:39:19,208564,35,38022,37825,797,280,1976,6
24-Nov-2021 11:39:27,208565,36,38021,37833,791,282,1971,6
24-Nov-2021 11:39:31,208566,35,38024,37832,790,283,1970,6
24-Nov-2021 11:39:41,208567,36,38000,37818,783,287,1964,6
24-Nov-2021 11:39:47,208568,37,37991,37790,798,289,1977,6
24-Nov-2021 11:39:51,208569,36,37986,37799,785,287,1963,6
24-Nov-2021 11:39:55,208570,36,38017,37816,777,289,1957,6
24-Nov-2021 11:39:59,208571,37,38036,37844,792,297,1974,6
24-Nov-2021 11:40:10,208572,35,38043,37843,795,280,1977,6
24-Nov-2021 11:40:15,208573,37,38027,37850,804,283,1987,6
